월,게시일,경과일,최근7일,최근30일,최근90일,지역,브랜드,활동유형,제목,요약,URL,출처,검색어,블로그명,수집일시,신규수집,알콘,쿠퍼,바슈롬
2026-08,2026-08-10,0,1,1,1,미분류,알콘,프로모션,부천역 안경 실내외 모두 편한 변색렌즈 선글라스 추천 하는 부천 ....,"누진렌즈까지 착한 가격에 맞출 수 있고 어린아이들 안경부터 콘택트렌즈까지 여기 오면 한번에 해결되겠더군요 부천 콘택트렌즈 싼곳 찾는 분들도 이곳 안경점 오면 아큐브, 바슈롬, 쿠퍼비전, 알콘 등...",https://blog.naver.com/narawh/224373523736,naver_blog_api,바슈롬 콘택트렌즈 이벤트,라니라니의 사부작사부작 소소한 한끼,2026-08-10T08:26:01+09:00,1,1,0,0
2026-08,2026-08-09,1,1,1,1,미분류,바슈롬,프로모션,[천안 콘택트렌즈] 전국민 눈건강을 위한 ! SUMMER 다빛데이 ! 2026.08.03~....,"바슈롬 바슈롬도 다비치렌즈 행사와 동일하게 컬러, 투명 둘 다 행사 진행 중이니, 평소 바슈롬 렌즈를 착용하셨던 고객님들께선 컬러, 투명 둘 다 사용해보시기 좋은 기회랍니다! ⚠ 올리브영 상품권은 8월...",https://blog.naver.com/ahdka0107/224373219017,naver_blog_api,바슈롬 콘택트렌즈 이벤트,다비치안경 천안쌍용점,2026-08-10T08:26:01+09:00,1,0,0,1
2026-08,2026-08-09,1,1,1,1,대구,바슈롬,프로모션,으뜸50안경성서점 8월 콘택트렌즈가격 및 이....,8월 콘택트렌즈 최신 가격표와 풍성한 이벤트 소식을 준비했습니다. 팩렌즈 재구매가 필요하셨던 분들이나 착한 가격의 렌즈를... 으뜸50안경성서점 바슈롬은 울트라원데이30P제품 3+1이벤트와 90P제품...,https://blog.naver.com/top50ss/224372904813,naver_blog_api,바슈롬 콘택트렌즈 이벤트,대구안경 으뜸50안경 대구성서점,2026-08-10T08:26:01+09:00,1,0,0,1
2026-08,2026-08-09,1,1,1,1,충남,알콘,프로모션,렌즈가격표>입니다 행사내용포함,8월 행사 내용 소개드립니다 ㅎㅎ ***고유가 지원금 사용 가능합니다!!*** ***공주페이 사용가능**** 일주일용 렌즈 알콘에... 4)바슈롬 1. 울트라 투명원데이 90p+40p 울트라 투명원데이 30p 3+1 2....,https://blog.naver.com/khj8168/224373054111,naver_blog_api,바슈롬 렌즈 행사,으뜸플러스충남공주점,2026-08-10T08:26:01+09:00,1,1,0,0
2026-08,2026-08-09,1,1,1,1,경기,알콘,프로모션,️ [경기 광주 다비치] 8월 SUMMER 다빛데이! 안경테·선글라스·안경렌....,궁금하신 점이 있으시면 언제든지 문의하세요 #경기광주#다비치안경#광주안경#경기광주안경#경기광주콘택트렌즈#콘택트렌즈최저가#원데이렌즈1+1#8월이벤트#알콘#쿠퍼비전#아큐브#바슈롬#인터로조...,https://blog.naver.com/gju13579/224373029773,naver_blog_api,바슈롬 콘택트렌즈 이벤트,다비치안경 보청기 경기광주 참조은병원옆점,2026-08-10T08:26:01+09:00,1,1,0,0
2026-08,2026-08-09,1,1,1,1,경기,알콘,프로모션,[경기 광주] 콘택트렌즈 최저가 SUMMER 다빛데이,궁금하신 점이 있으시면 언제든지 문의하세요 #경기광주#다비치안경#광주안경#경기광주안경#경기광주콘택트렌즈#콘택트렌즈최저가#원데이렌즈1+1#8월이벤트#알콘#쿠퍼비전#아큐브#바슈롬#인터로조...,https://blog.naver.com/gju13579/224373017753,naver_blog_api,바슈롬 콘택트렌즈 이벤트,다비치안경 보청기 경기광주 참조은병원옆점,2026-08-10T08:26:01+09:00,1,1,0,0
2026-08,2026-08-09,1,1,1,1,미분류,알콘,프로모션,김해삼계동 콘택트렌즈 할인 | 원데이 투명렌즈 1+1 | 다비치안경 김....,"30,000원 울트라원데이 30P 67,000원 → 67,000원 울트라원데이 90P 180,000원 → 180,000원... 아큐브 #알콘 #쿠퍼비전 #바슈롬 #인터로조 #8월이벤트 #여름이벤트 #다비치안경김해삼계점",https://blog.naver.com/dvc2970/224372956225,naver_blog_api,바슈롬 울트라 이벤트,다비치안경 김해삼계점,2026-08-10T08:26:01+09:00,1,1,0,0
2026-08,2026-08-09,1,1,1,1,미분류,알콘,프로모션,"휴가비 부담은 덜고, 눈 건강은 올리고~! 8월 프로모션 행사","휴가철 필수템 렌즈, 최대 65% 파격 할인 인기 브랜드 렌즈 총집합~ 아큐브·알콘·쿠퍼비전·바슈롬·클라렌까지 최대 65% 혜택으로 만나보세요! ※ 행사기간 : 8/3 ~ 8/17 ※ 8월 프로모션 정리 내용입니다....",https://blog.naver.com/davichnam/224372941753,naver_blog_api,바슈롬 렌즈 행사,다비치안경 시지점,2026-08-10T08:26:01+09:00,1,1,0,0
2026-08,2026-08-09,1,1,1,1,미분류,알콘,프로모션,"렌즈미 신대방삼거리점 8월 행사! 축교정렌즈 2+1, 1+2 THANKS WEEKS","하이라이트 렌즈 2+1, 1+2 이벤트 정리 안녕하세요! 15년 동안 신대방삼거리역 한자리에서 여러분의... 알콘 / 바슈롬: 토탈원(30P) 40,000원 울트라90+30 89,000원 대량 구매나 매일 착용하는 데일리 렌즈 소비가...",https://blog.naver.com/akf1244/224372889111,naver_blog_api,바슈롬 울트라 이벤트,글라스미 렌즈미 신대방삼거리점,2026-08-10T08:26:01+09:00,1,1,0,0
2026-08,2026-08-09,1,1,1,1,미분류,알콘,프로모션,8월 콘텍트렌즈 행사,"-아큐브- 아큐브 ,알콘 콘텍트렌즈 이번달 최저가 행사이오니 많은 관심 부탁드립니다!! 더 궁금한점 있으면 매장으로 전화주시면 감사하겠습니다~~",https://blog.naver.com/bseyewear2/224372820082,naver_blog_api,알콘 렌즈 행사,한빛안경랜드 방화점,2026-08-10T08:26:01+09:00,1,1,0,0
2026-08,2026-08-09,1,1,1,1,미분류,알콘,체험/증정,더글라스안경 알콘 렌즈 행사 안내,더글라스안경 김포풍무역점입니다~^-^ 오늘은 알콘 토탈원 프리시전원 렌즈 행사 안내를 드리려고 합니다!! ① 샘플 체험 워터클럽 간단 가입후 샘플 신청시 토탈원(근시/난시) or 프리시전원(근시/난시)...,https://blog.naver.com/theglass_gimpo/224372797511,naver_blog_api,알콘 프리시전원 안경원,더글라스안경 김포풍무역점,2026-08-10T08:26:01+09:00,1,1,0,0
2026-08,2026-08-09,1,1,1,1,대구,알콘,프로모션,"대구안경피팅 세컨페이스 죽전점 방문 후기, 부모님 노안 다초점 안....","✔ 인기 콘택트렌즈 브랜드 할인 행사 진행 (아큐브, 바슈롬, 알콘, 쿠퍼비전 등) ✔ 일회용 렌즈 관련 할인 혜택 ✔ 수입 명품 선글라스 신상 제품 다양하게 보유 ✔ 행사 선글라스 이벤트 진행 (일부 제품 대상)...",https://blog.naver.com/hkj3826/224372498721,naver_blog_api,바슈롬 콘택트렌즈 이벤트,"올레부부,제주를담다",2026-08-10T08:26:01+09:00,1,1,0,0
